FileName,JapaneseString
SoulRPG/Database/GameRule.asset,ルクスオラ
SoulRPG/Database/GameRule.asset,転生<size=75%>の</size><size=120%>{SealedName}</size>
SoulRPG/Database/GameRule.asset,カイン
SoulRPG/Database/GameRule.asset,セリウス
SoulRPG/Database/GameRule.asset,アッシュ
SoulRPG/Database/GameRule.asset,ザイン
SoulRPG/Database/MasterData.asset,話しかける
SoulRPG/Database/MasterData.asset,簡素だが洗練された刃。身軽にして鋭い、戦場での頼れる相棒。
SoulRPG/Database/MasterData.asset,短いが鋭利な刃。影に隠れて光る、暗殺者の信頼できる友。
SoulRPG/Database/MasterData.asset,圧倒的な重さと威力を誇る巨大な剣。すべてを切り裂く圧倒的な力を秘める。
SoulRPG/Database/MasterData.asset,鋭く細い刃は、鎧をも貫く。精密で冷酷な刺突の達人のための剣。
SoulRPG/Database/MasterData.asset,クラブ
SoulRPG/Database/MasterData.asset,素朴だが致命的な武器。重厚な打撃で敵を粉砕する。
SoulRPG/Database/MasterData.asset,ポイズンダガー
SoulRPG/Database/MasterData.asset,毒で染まった刃が、切られた者に苦痛と死をもたらす。ひと刺しで命を奪う致命の一撃。
SoulRPG/Database/MasterData.asset,スパークエッジ
SoulRPG/Database/MasterData.asset,刀身に雷を纏う、閃光のように素早い剣。敵を瞬時に切り裂き、戦場を駆け抜ける。
SoulRPG/Database/MasterData.asset,ウィルメイス
SoulRPG/Database/MasterData.asset,強固な意志を持つ者にふさわしいメイス。敵の骨を砕き、戦意を消し去る。
SoulRPG/Database/MasterData.asset,フレイムロッド
SoulRPG/Database/MasterData.asset,炎の力を操る魔法の杖。その先端には常に小さな炎が燃え、敵を焼き尽くす力を秘める。
SoulRPG/Database/MasterData.asset,火の力を宿す打撃武器。敵を焼き焦がしながら、圧倒的な力で叩き潰す。
SoulRPG/Database/MasterData.asset,サンダーロッド
SoulRPG/Database/MasterData.asset,雷の魔力を宿した杖。稲妻の一撃で敵を感電させ、立ちすくませる。
SoulRPG/Database/MasterData.asset,青魔導士の剣
SoulRPG/Database/MasterData.asset,青白い光を纏う魔法の剣。青魔導士にのみ扱える、未知の力が秘められている。
SoulRPG/Database/MasterData.asset,重量感あふれる大剣。全てを切り裂く破壊力を持ち、一振りで戦場を支配する。
SoulRPG/Database/MasterData.asset,火花の短剣
SoulRPG/Database/MasterData.asset,赤く輝く刃から火花を散らす短剣。一閃で敵を焦がし、素早い攻撃で圧倒する。
SoulRPG/Database/MasterData.asset,雷呪の杖
SoulRPG/Database/MasterData.asset,黄色と黒の光が蠢く呪われた杖。雷の呪いを解き放ち、敵を破滅へと導く。
SoulRPG/Database/MasterData.asset,バスタークラブ
SoulRPG/Database/MasterData.asset,圧倒的な破壊力を持つ巨大な棍棒。あらゆる敵を粉砕し、その跡に何も残さない。
SoulRPG/Database/MasterData.asset,クイックボウ
SoulRPG/Database/MasterData.asset,素早い動作が可能な軽量弓。瞬時に矢を放ち、敵を狙い撃つスナイパーの武器。
SoulRPG/Database/MasterData.asset,ランス
SoulRPG/Database/MasterData.asset,槍と盾を一対とする騎士の武器。突撃に特化し、敵の防御を突破する。
SoulRPG/Database/MasterData.asset,雷の剣
SoulRPG/Database/MasterData.asset,雷の力を宿す細身の剣。電光のごとく素早く、敵を感電させながら切り裂く。
SoulRPG/Database/MasterData.asset,ラヴァハートの大槍
SoulRPG/Database/MasterData.asset,ラヴァハート家に伝わる炎に包まれた巨大な槍。溶岩の如き熱さで敵を焼き尽くす、破壊力に満ちた武器。
SoulRPG/Database/MasterData.asset,鉄の盾
SoulRPG/Database/MasterData.asset,強固な鉄で作られたシンプルな盾。堅実な防御力で、いかなる攻撃にも耐える。
SoulRPG/Database/MasterData.asset,死毒剣
SoulRPG/Database/MasterData.asset,緑色の毒が染み込んだ致命の剣。一撃で敵の体に死の毒を流し込む、恐怖の武器。
SoulRPG/Database/MasterData.asset,レオの断罪剣
SoulRPG/Database/MasterData.asset,勇者レオが使った断罪の剣。正義の光で悪を切り裂き、裁きを下す。
SoulRPG/Database/MasterData.asset,影走の短剣
SoulRPG/Database/MasterData.asset,闇に紛れて迅速に動く者の短剣。黒い刃が影のように忍び寄り、敵を無音で仕留める。
SoulRPG/Database/MasterData.asset,スライムスレイヤー
SoulRPG/Database/MasterData.asset,スライムを狩るために鍛えられた特別な直剣。その刃は、どんなに粘り強い敵でも一閃で切り裂き、その痕跡すら残さない。
SoulRPG/Database/MasterData.asset,アンプリファイロッド
SoulRPG/Database/MasterData.asset,魔力を増幅し、その力を限界まで引き出す杖。持つ者の魔法は強大な力を得て、敵を圧倒する存在となる。
SoulRPG/Database/MasterData.asset,失われた古代文明が作り上げた盾。その表面は神秘的な紋様で覆われ、持ち主をあらゆる攻撃から守る魔力を放つ。まるで目に見えない壁が張り巡らされたかのように、どんな猛攻にもびくともしない。
SoulRPG/Database/MasterData.asset,クロノセプター
SoulRPG/Database/MasterData.asset,時間の流れを操る力を宿した伝説の杖。この杖を振るう者は、瞬時に時を加速させ、敵の動きを封じ、自らの行動を倍増させる。放つ魔力は、時の境界を越え、過去と未来を繋ぐ。
SoulRPG/Database/MasterData.asset,妖刀ミゼリコルデ
SoulRPG/Database/MasterData.asset,かつて無数の魂を喰らい、呪われた剣士によって振るわれた妖刀。その刃には怨念が渦巻き、持つ者の心を蝕みながらも圧倒的な力を授けるという。斬られた者の恨みは剣に蓄積され、さらなる破壊の力を増幅させる。
SoulRPG/Database/MasterData.asset,騎士レガリスが生涯をかけて守り抜いたという堅牢な盾。この盾は、まるで神聖な壁のように持ち主を守り、敵の攻撃をことごとく跳ね返す。レガリスの誓いと共に、決して破られることのない守護の力を宿している。
SoulRPG/Database/MasterData.asset,逆棘の剣
SoulRPG/Database/MasterData.asset,この剣には、刃の根元から先端に向かって逆に生えた棘が刻まれている。刺突するたびに敵の肉を裂き、抜く際にはさらに深い傷を刻む。反撃を恐れず、敵を貫くことでより強力な痛みと絶望をもたらす、残酷なる剣。
SoulRPG/Database/MasterData.asset,エアリーの杖
SoulRPG/Database/MasterData.asset,エアリーの杖は、癒しの力を宿す聖なる杖。その持ち主に寄り添いながら、傷ついた者たちに生命の息吹を吹き込む。回復魔法に特化し、触れるだけで痛みを和らげ、心を落ち着かせる力を持つ。
SoulRPG/Database/MasterData.asset,再生の杖
SoulRPG/Database/MasterData.asset,失われた生命を取り戻す神聖な杖。その光は絶えず輝き、持ち主の手の中で癒しをもたらす。傷を癒し、心を再生させるその力は、戦場に希望をもたらす。
SoulRPG/Database/MasterData.asset,アルノイドの剣
SoulRPG/Database/MasterData.asset,優雅さと力を兼ね備えた貴公子の剣。その細身の刃は、鋭くも美しい輝きを放ち、一振りで敵を斬り裂く。その洗練されたデザインは、持ち主の高貴な血統と気品を象徴している。
SoulRPG/Database/MasterData.asset,アングリーバット
SoulRPG/Database/MasterData.asset,アングリーバットは、粗削りな木製の棍棒。その見た目は単純だが、一度振り回せば驚くべき威力を発揮する。怒りを込めて振るうことで、その力は倍増し、敵を打ちのめす強力な武器となる。
SoulRPG/Database/MasterData.asset,エボニアの雷剣
SoulRPG/Database/MasterData.asset,雷神の力を宿すと言われる金色の直剣。その刃は光り輝き、一振りで雷鳴が轟く。持ち主に雷の如き速さと力を与え、敵を瞬時に打ち倒す剣。
SoulRPG/Database/MasterData.asset,ルクスオラの大弓
SoulRPG/Database/MasterData.asset,かつて聖騎士によって用いられた神聖な弓。その弦は光の力を帯びており、放たれる矢はまるで雷のように敵を貫く。正義の象徴であるこの弓は、邪悪を浄化し、平和をもたらす力を持つ。
SoulRPG/Database/MasterData.asset,イリシアの杖
SoulRPG/Database/MasterData.asset,星錬学長イリシアが持つと伝えられる聖なる杖。その杖には純白の魔力が宿り、浄化と再生の力を持つ。味方を癒すその力は、まるで神の手が触れるかのように穏やかでありながらも強大。
SoulRPG/Database/MasterData.asset,ヘビークロスボウ
SoulRPG/Database/MasterData.asset,圧倒的な威力を誇る大型の弩。重厚な造りと強力な弦が、放たれる矢に破壊的な力を宿す。一撃で敵の防御を打ち砕き、圧倒的な威圧感を放つ武器である。
SoulRPG/Database/MasterData.asset,分厚く重厚な直剣。力強い斬撃を繰り出すために設計され、敵の防御を粉砕する威力を持つ。シンプルながらも堅実で、戦場で頼れる一本。
SoulRPG/Database/MasterData.asset,火花の短剣＋
SoulRPG/Database/MasterData.asset,赤く輝く刃から火花を散らす短剣の強化版。一閃で敵を焦がし、素早い攻撃で圧倒する。
SoulRPG/Database/MasterData.asset,クラブ＋
SoulRPG/Database/MasterData.asset,素朴だが致命的な武器の強化版。重厚な打撃で敵を粉砕する。
SoulRPG/Database/MasterData.asset,ポイズンダガー＋
SoulRPG/Database/MasterData.asset,強化された毒で染まった刃が、切られた者に苦痛と死をもたらす。ひと刺しで命を奪う致命の一撃。
SoulRPG/Database/MasterData.asset,ポケットナイフ
SoulRPG/Database/MasterData.asset,軽量で携帯性に優れた小型の武器。その緑色の柄は自然との調和を象徴し、白く光る刀身は鋭さと静寂を兼ね備えている。隠密行動や素早い一撃を求める者にとって、信頼できる相棒となる。
SoulRPG/Database/MasterData.asset,星影の導杖
SoulRPG/Database/MasterData.asset,夜空に輝く星々の力を集めた神秘的な杖。その先端には紫色の魔力が宿り、持ち主に星の力を操る力を与える。闇夜に輝くその杖は、星々の導き手としての力を象徴している。
SoulRPG/Database/MasterData.asset,焦炎剣
SoulRPG/Database/MasterData.asset,灼熱の炎を纏った大剣。刃が燃え盛るその姿は、まさに地獄の火を引き連れたかのよう。持ち主の怒りに呼応し、敵を焦がし、灰へと還す。その猛火は、近づく者すべてを焼き尽くす力を秘めている。
SoulRPG/Database/MasterData.asset,クロノセプター＋
SoulRPG/Database/MasterData.asset,時間の流れを操る力を宿した伝説の杖の強化版。この杖を振るう者は、瞬時に時を加速させ、敵の動きを封じ、自らの行動を倍増させる。放つ魔力は、時の境界を越え、過去と未来を繋ぐ。
SoulRPG/Database/MasterData.asset,フレイムロッド＋
